ID_OSOBNIKA,GENERACJA,WARTOSC_OSOBNIKA,EWALUACJA,FITNESS
1,1,233,0.0667379,0.01
2,1,233,0.0667379,0.01
3,1,233,0.0667379,0.01
4,1,233,0.0667379,0.01
5,1,233,0.0667379,0.01
6,1,233,0.0667379,0.01
7,1,233,0.0667379,0.01
8,1,233,0.0667379,0.01
9,1,249,0.0667379,0.01
10,1,169,0.0667379,0.01
11,1,233,0.0667379,0.01
12,1,233,0.0667379,0.01
13,1,233,0.0667379,0.01
14,1,233,0.0667379,0.01
15,1,233,0.0667379,0.01
16,1,233,0.0667379,0.01
17,1,233,0.0667379,0.01
18,1,233,0.0667379,0.01
19,1,233,0.0667379,0.01
20,1,232,0.0667379,0.01
21,1,233,0.0667379,0.01
22,1,233,0.0667379,0.01
23,1,233,0.0667379,0.01
24,1,233,0.0667379,0.01
25,1,233,0.0667379,0.01
26,1,233,0.0667379,0.01
27,1,233,0.0667379,0.01
28,1,233,0.0667379,0.01
29,1,233,0.0667379,0.01
30,1,233,0.0667379,0.01
31,1,233,0.0667379,0.01
32,1,233,0.0667379,0.01
33,1,233,0.0667379,0.01
34,1,233,0.0667379,0.01
35,1,233,0.0667379,0.01
36,1,233,0.0667379,0.01
37,1,235,0.0667379,0.01
38,1,169,0.0667379,0.01
39,1,233,0.0667379,0.01
40,1,233,0.0667379,0.01
41,1,233,0.0667379,0.01
42,1,233,0.0667379,0.01
43,1,233,0.0667379,0.01
44,1,233,0.0667379,0.01
45,1,233,0.0667379,0.01
46,1,233,0.0667379,0.01
47,1,233,0.0667379,0.01
48,1,237,0.0667379,0.01
49,1,233,0.0667379,0.01
50,1,233,0.0667379,0.01
51,1,233,0.0667379,0.01
52,1,233,0.0667379,0.01
53,1,233,0.0667379,0.01
54,1,233,0.0667379,0.01
55,1,233,0.0667379,0.01
56,1,233,0.0667379,0.01
57,1,233,0.0667379,0.01
58,1,233,0.0667379,0.01
59,1,233,0.0667379,0.01
60,1,233,0.0667379,0.01
61,1,233,0.0667379,0.01
62,1,233,0.0667379,0.01
63,1,233,0.0667379,0.01
64,1,233,0.0667379,0.01
65,1,233,0.0667379,0.01
66,1,233,0.0667379,0.01
67,1,233,0.0667379,0.01
68,1,249,0.0667379,0.01
69,1,233,0.0667379,0.01
70,1,233,0.0667379,0.01
71,1,233,0.0667379,0.01
72,1,233,0.0667379,0.01
73,1,233,0.0667379,0.01
74,1,233,0.0667379,0.01
75,1,233,0.0667379,0.01
76,1,233,0.0667379,0.01
77,1,233,0.0667379,0.01
78,1,233,0.0667379,0.01
79,1,233,0.0667379,0.01
80,1,233,0.0667379,0.01
81,1,233,0.0667379,0.01
82,1,249,0.0667379,0.01
83,1,233,0.0667379,0.01
84,1,233,0.0667379,0.01
85,1,233,0.0667379,0.01
86,1,233,0.0667379,0.01
87,1,169,0.0667379,0.01
88,1,233,0.0667379,0.01
89,1,233,0.0667379,0.01
90,1,233,0.0667379,0.01
91,1,233,0.0667379,0.01
92,1,233,0.0667379,0.01
93,1,233,0.0667379,0.01
94,1,233,0.0667379,0.01
95,1,233,0.0667379,0.01
96,1,237,0.0667379,0.01
97,1,233,0.0667379,0.01
98,1,105,0.0667379,0.01
99,1,169,0.0667379,0.01
100,1,233,0.0667379,0.01
101,2,105,7.35294,0.49699
102,2,105,0.288684,0.0195123
103,2,121,0.288684,0.0195123
104,2,105,0.288684,0.0195123
105,2,105,0.288684,0.0195123
106,2,105,0.0667379,0.00451085
107,2,105,0.0667379,0.00451085
108,2,105,0.0667379,0.00451085
109,2,105,0.0667379,0.00451085
110,2,105,0.0667379,0.00451085
111,2,105,0.0667379,0.00451085
112,2,105,0.0667379,0.00451085
113,2,105,0.0667379,0.00451085
114,2,105,0.0522357,0.00353064
115,2,121,0.0667379,0.00451085
116,2,105,0.0667379,0.00451085
117,2,105,0.0667379,0.00451085
118,2,105,0.0667379,0.00451085
119,2,105,0.0667379,0.00451085
120,2,105,0.0667379,0.00451085
121,2,105,0.0667379,0.00451085
122,2,105,0.0667379,0.00451085
123,2,105,0.0667379,0.00451085
124,2,105,0.067838,0.00458521
125,2,105,0.0667379,0.00451085
126,2,105,0.0667379,0.00451085
127,2,105,0.0667379,0.00451085
128,2,105,0.0667379,0.00451085
129,2,105,0.0667379,0.00451085
130,2,107,0.0667379,0.00451085
131,2,105,0.0667379,0.00451085
132,2,105,0.0667379,0.00451085
133,2,105,0.0667379,0.00451085
134,2,105,0.0667379,0.00451085
135,2,105,0.0667379,0.00451085
136,2,105,0.0667379,0.00451085
137,2,105,0.0667379,0.00451085
138,2,105,0.0667379,0.00451085
139,2,105,0.0667379,0.00451085
140,2,105,0.0667379,0.00451085
141,2,105,0.0646162,0.00436745
142,2,105,0.0667379,0.00451085
143,2,107,0.0667379,0.00451085
144,2,105,0.0667379,0.00451085
