Pokolenie,Zamierzona Wartosc,Mutacja
0,111,2
1,111,2
2,111,2
3,111,2
4,111,2
5,111,2
6,111,2
7,111,2
8,111,2
9,111,2
10,111,2
11,111,2
12,111,2
13,111,2
14,111,2
15,111,2
16,111,2
17,111,2
18,111,2
19,111,2
20,111,2
21,111,2
22,111,2
23,111,2
24,111,2
25,230,4
26,230,4
27,230,4
28,230,4
29,230,4
30,230,4
31,230,4
32,230,4
33,230,4
34,230,4
35,230,4
36,230,4
37,230,4
38,230,4
39,230,4
40,230,4
41,230,4
42,230,4
43,230,4
44,230,4
45,230,4
46,230,4
47,230,4
48,230,4
49,230,4
50,55,2
51,55,2
52,55,2
53,55,2
54,55,2
55,55,2
56,55,2
57,55,2
58,55,2
59,55,2
60,55,2
61,55,2
62,55,2
63,55,2
64,55,2
65,55,2
66,55,2
67,55,2
68,55,2
69,55,2
70,55,2
71,55,2
72,55,2
73,55,2
74,55,2
75,220,4
76,220,4
77,220,4
78,220,4
79,220,4
80,220,4
81,220,4
82,220,4
83,220,4
84,220,4
85,220,4
86,220,4
87,220,4
88,220,4
89,220,4
90,220,4
91,220,4
92,220,4
93,220,4
94,220,4
95,220,4
96,220,4
97,220,4
98,220,4
99,220,4
100,7,7
